region;area;city;settlement;street;house
Респ Марий Эл;Сернурский р-н;;д Большая Коклала;ул Большая Коклала;12
Калужская обл;Людиновский р-н;г Людиново;;ул Ленина;7
Респ Башкортостан;Чекмагушевский р-н;;с Урняк;ул Советская;2
Пермский край;Нытвенский р-н;;тер федеральной автомобильной дороги М7 Волга (д Белобородово);км 433-й;3
Нижегородская обл;Сосновский р-н;;с Елизарово;ул Советская;78
Алтайский край;Тальменский р-н;;рп Тальменка;ул Заправочная;46А
Пермский край;Красновишерский р-н;г Красновишерск;;ул Спортивная;14
Волгоградская обл;Урюпинский р-н;;х Петровский;пер Л.Толстого;9Б
Московская обл;;г Луховицы;рп Белоомут;ул Большая Огаревская;6
Респ Башкортостан;Чекмагушевский р-н;;с Резяпово;ул Центральная;38
Респ Марий Эл;Мари-Турекский р-н;;д Мари-Купта;ул Полевая;2А
Пермский край;;г Березники;;ул Мира;52
Свердловская обл;;г Екатеринбург;с Горный Щит;ул Ленина;25
Алтайский край;;г Барнаул;;ул Лазурная;29
Нижегородская обл;Богородский р-н;;д Бурцево;ул Шабуевка;35
Респ Марий Эл;Горномарийский р-н;;с Юлъялы;ул Вознесенская;25А
Респ Бурятия;Северо-Байкальский р-н;;пгт Нижнеангарск;ул Ленина;117А
Московская обл;;г Щёлково;;ул Институтская;27Б
Респ Алтай;Майминский р-н;;с Майма;ул Папардэ;34
Псковская обл;Новосокольнический р-н;;д Горожане;ул Центральная;39
Челябинская обл;;г Златоуст;;ул Садовая;13
Ульяновская обл;Тереньгульский р-н;;рп Тереньга;ул Евстифеева;70
Еврейская Аобл;Ленинский р-н;;с Ленинское;ул 30 лет Победы;38А
Тверская обл;;г Тверь;;ул Паши Савельевой;41А
Липецкая обл;Воловский р-н;;с Нижнее Большое;ул Молодежная;2
Респ Башкортостан;Бирский р-н;г Бирск;;ул Мира;130
Иркутская обл;Иркутский р-н;;с Урик;ул Лунина;60
Самарская обл;Шенталинский р-н;;с Салейкино;ул Советская;55А
Кировская обл;Белохолуницкий р-н;;п Дубровка;ул Ленина;4
Респ Саха /Якутия/;у Хангаласский;;с Октемцы;ул Ярославского;14
Новосибирская обл;;г Бердск;тер НСТ Отдых;ул Цветочная;69
Красноярский край;;г Красноярск;;б-р Солнечный;15
Алтайский край;;г Бийск;п Нагорный;пер Вишневый;31
Тюменская обл;Заводоуковский р-н;;с Новая Заимка;ул Новая;14А
Калининградская обл;;г Калининград;тер. СНТ Колосок;ул Центральная;1
Краснодарский край;Северский р-н;;пгт Афипский;ул Пушкина;109
Ульяновская обл;;г Димитровград;;ул Курчатова;36
Респ Карелия;;г Петрозаводск;р-н Кукковка;пр-кт Комсомольский;10
Респ Карелия;Кемский р-н;;п Рабочеостровск;ул Комсомольская;42
Архангельская обл;Холмогорский р-н;;п Луковецкий;ул Центральная;3
Красноярский край;;г Красноярск;;ул Ольховая;12
Приморский край;Красноармейский р-н;;с Новопокровка;ул Советская;97
Псковская обл;Себежский р-н;;д Эпимахово;ул Центральная;1
Свердловская обл;Ачитский р-н;;с Быково;ул Трактовая;33
Хабаровский край;;г Комсомольск-на-Амуре;;ст Комсомольск;57
Краснодарский край;Выселковский р-н;;п Гражданский;ул Ленина;20
Респ Башкортостан;Караидельский р-н;;с Магинск;ул Павших Героев;27
Амурская обл;Ивановский р-н;;с Среднебелая;ул Советская;29А
Кировская обл;Кирово-Чепецкий р-н;;с Фатеево;ул Школьная;1
Краснодарский край;Абинский р-н;;пгт Ахтырский;ул Советская;34
Самарская обл;Богатовский р-н;;с Богатое;ул Пушкина;16А
Оренбургская обл;;г Оренбург;п Каргала;пер Зеленый;16
Свердловская обл;;г Екатеринбург;;ул Репина;82
г Санкт-Петербург;;;;ул Миргородская;1
Нижегородская обл;Дальнеконстантиновский р-н;;д Мирша;ул Центральная;47
Респ Бурятия;;г Улан-Удэ;;ул Основная;2
Калужская обл;Юхновский р-н;;д Зубово;ул Шоссейная;8
Респ Саха /Якутия/;у Хангаласский;;с Чапаево;ул Г.Саввина;2
Чувашская Республика - Чувашия;Комсомольский р-н;;с Комсомольское;тер РТП;1
Нижегородская обл;;г Нижний Новгород;;ул Зайцева;19Б
Пермский край;;г Пермь;;ул Льва Шатрова;11
Забайкальский край;Могойтуйский р-н;;с Кусоча;ул Молодежная;6
Нижегородская обл;Лысковский р-н;;с Просек;ул Заводская;3А
Краснодарский край;;г Сочи;;ул Воровского;49
Владимирская обл;Судогодский р-н;г Судогда;;ул Мерецкова;14
Краснодарский край;Ейский р-н;г Ейск;;ул Энгельса;82
Респ Марий Эл;Сернурский р-н;;д Лажъял;ул Центральная;12
Краснодарский край;Лабинский р-н;г Лабинск;;ул Б.Хмельницкого;13
Кемеровская область - Кузбасс;;г Кемерово;;пр-кт Ленина;40
Респ Мордовия;Рузаевский р-н;;с Красный Клин;ул Центральная;57
Респ Адыгея;Гиагинский р-н;;ст-ца Гиагинская;ул Красная;300
Московская обл;;г Кашира;д Знаменское;;1
Омская обл;Черлакский р-н;;рп Черлак;ул 6-я Восточная;18
Московская обл;;г Королёв;;ул Богомолова;1
Ульяновская обл;Мелекесский р-н;;с Рязаново;ул Школьная;11
Ставропольский край;;г Невинномысск;;ул Матросова;153А
г Москва;;;;ул Лужники;24
Кемеровская область - Кузбасс;;г Кемерово;;пр-кт Ленина;59А
Краснодарский край;;г Краснодар;;ул им. Крупской;159
Вологодская обл;Никольский р-н;г Никольск;;ул Новоборисовская;57
Респ Татарстан;Бугульминский р-н;г Бугульма;;ул Хусаина Ямашева;4В
Респ Марий Эл;Сернурский р-н;;д Нижний Кугенер;ул Советская;15
Курганская обл;Белозерский р-н;;с Светлый Дол;ул Сурова;6
Респ Карачаево-Черкесская;Прикубанский р-н;;с Чапаевское;ул Центральная;104
Московская обл;;г Люберцы;;ул Инициативная;46
Красноярский край;Казачинский р-н;;с Рождественское;ул Кирова;68Б
Респ Калмыкия;;г Элиста;;ул им Бимбаева М.Т.;40
Иркутская обл;Тайшетский р-н;;с Нижняя Заимка;ул Партизанская;48А
Респ Марий Эл;;г Йошкар-Ола;;ул Транспортная;21А
Ульяновская обл;Сурский р-н;;с Барышская Слобода;ул Кирова;11
Респ Марий Эл;Звениговский р-н;;пгт Суслонгер;ул Железнодорожная;1
Респ Башкортостан;Иглинский р-н;;с Иглино;ул Ленина;20
Респ Татарстан;Лениногорский р-н;г Лениногорск;;ул Чайковского;18
Мурманская обл;;г Апатиты;;ул Ферсмана;3
Оренбургская обл;;г Оренбург;;ул Мало-Мельничная;38
Алтайский край;;г Заринск;;ул Центральная;22
Калининградская обл;;г Калининград;;ул Подполковника Половца;12
Хабаровский край;;г Комсомольск-на-Амуре;;ул Вокзальная;53
Красноярский край;;г Красноярск;;ул Рейдовая;57В
Нижегородская обл;;г Арзамас;;ул Володарского;112А
Ярославская обл;;г Ярославль;;ул Большая Федоровская;79
Краснодарский край;;г Краснодар;;проезд 3-й Звенигородский;81
Респ Башкортостан;Янаульский р-н;г Янаул;;ул Парковая;1
Новосибирская обл;Чановский р-н;;с Таган;ул Центральная;52
Респ Марий Эл;Медведевский р-н;;пгт Медведево;ул Логинова;6
г Санкт-Петербург;;;тер Михайловка (п Парголово);пер 1-й;15Н
Свердловская обл;;г Екатеринбург;мкр Светлый;;4
Пермский край;Ильинский р-н;;п Ильинский;ул Шоссейная;2А
Краснодарский край;;г Краснодар;;ул Тенистая;30
Забайкальский край;Приаргунский р-н;;пгт Приаргунск;ул Транспортная;2
Тульская обл;Новомосковский р-н;г Новомосковск;;ул Комсомольская;25/16
Респ Башкортостан;Мелеузовский р-н;г Мелеуз;;ул Ленина;10
Респ Марий Эл;Горномарийский р-н;;с Картуково;ул Центральная;35
Московская обл;г Пушкино;г Ивантеевка;;пр-кт Советский;39
Курганская обл;;г Курган;;пр-кт Машиностроителей;7
Кировская обл;Афанасьевский р-н;;д Слобода;ул Школьная;19
Калужская обл;Перемышльский р-н;;с Перемышль;ул Республиканская;52
Вологодская обл;Сокольский р-н;г Сокол;;ул Орешкова;19
г Москва;;;;ул Житная;14
Респ Марий Эл;Мари-Турекский р-н;;пгт Мари-Турек;ул Мосолова;60
Тамбовская обл;;г Мичуринск;;ул Федеративная;62
Московская обл;;г Волоколамск;;ул Панфилова;26
Самарская обл;;г Тольятти;;ул Борковская;67
Свердловская обл;;г Первоуральск;п Новоуткинск;ул Гоголя;47
Чувашская Республика - Чувашия;Комсомольский р-н;;с Комсомольское;ул Комсомольская;74
Чувашская Республика - Чувашия;Чебоксарский р-н;;д Крикакасы;ул Новая;20
Респ Татарстан;Альметьевский р-н;г Альметьевск;;ул Ризы Фахретдина;59А
Камчатский край;;г Петропавловск-Камчатский;;ул Пограничная;16
Респ Хакасия;;г Черногорск;;ул Юбилейная;30Г
Белгородская обл;Корочанский р-н;;с Соколовка;ул Зеленая;1
Красноярский край;Дзержинский р-н;;с Дзержинское;ул Горького;115
Оренбургская обл;Ташлинский р-н;;с Шестаковка;ул Молодежная;4
Тверская обл;;г Вышний Волочек;;ул Ямская;46
Респ Саха /Якутия/;у Вилюйский;;с Эбя;ул Н.А.Кондакова;12
Новосибирская обл;Новосибирский р-н;;платф 3307 км;;37
Рязанская обл;;г Рязань;;ул Фирсова;14
Красноярский край;Балахтинский р-н;;пгт Балахта;ул Комсомольская;24
Красноярский край;Ермаковский р-н;;с Мигна;ул Ленина;32А
Омская обл;Калачинский р-н;;д Куликово;ул Слободская;22
Респ Башкортостан;;г Стерлитамак;;ул Сазонова;30В
Свердловская обл;Артемовский р-н;;п Буланаш;ул Комсомольская;10Б
Иркутская обл;Тулунский р-н;;с Мугун;ул Ленина;49А
Тюменская обл;Ялуторовский р-н;;с Беркут;ул Первомайская;16
Московская обл;;рп Серебряные Пруды;;ул Набережная;40
Псковская обл;Островский р-н;г Остров;;ул Загородная;30
Свердловская обл;;г Екатеринбург;;ул Готвальда;14
Респ Крым;Джанкойский р-н;;пгт Азовское;ул Гагарина;30
Красноярский край;Емельяновский р-н;;п Гаревое;ул Центральная;18
Новосибирская обл;;г Новосибирск;;ул Писемского;10
Ставропольский край;;г Невинномысск;;ул Гагарина;85
Оренбургская обл;;г Орск;;ул Ферганская;2
Ростовская обл;Октябрьский р-н;;ст-ца Кривянская;ул Мостовая;1
Респ Крым;;г Джанкой;;ул Октябрьская;142
Нижегородская обл;Володарский р-н;;сп Красная Горка;ул Песочная;13А
Новосибирская обл;;г Новосибирск;;ул Гаранина;12
Респ Башкортостан;;г Уфа;;пр-кт Октября;121/1А
Краснодарский край;Лабинский р-н;г Лабинск;;ул Мира;263
Красноярский край;Рыбинский р-н;г Заозерный;;ул Реконструкции;18Б
Томская обл;Первомайский р-н;;п Новый;ул Центральная;10
Орловская обл;Должанский р-н;;пгт Долгое;ул Свердлова;1
Оренбургская обл;Саракташский р-н;;с Андреевка;ул Школьная;5
Новгородская обл;Старорусский р-н;;д Борисово;ул Заречная;8А
Чувашская Республика - Чувашия;Яльчикский р-н;;с Большая Таяба;ул Озерная;30А
Тюменская обл;;г Тюмень;;ул Володарского;22
Нижегородская обл;;г Кулебаки;с Шилокша;ул Центральная;60А
Тюменская обл;Викуловский р-н;;с Озерное;ул Советская;43А
Свердловская обл;;г Екатеринбург;;ул Шефская;115
Тверская обл;;г Зубцов;;ул Зверева;48Б
Респ Татарстан;Высокогорский р-н;;д Ильино;ул Центральная;27А
Ростовская обл;;г Азов;;ул Кондаурова;38
Ханты-Мансийский Автономный округ - Югра АО;Нефтеюганский р-н;;пгт Пойковский;мкр Мушкино;1
Пермский край;Куединский р-н;;с Большая Уса;ул Энергетиков;1
Вологодская обл;Усть-Кубинский р-н;;с Устье;ул Юбилейная;9А
Респ Татарстан;Лениногорский р-н;г Лениногорск;;ул Тукая;34
Нижегородская обл;;г Арзамас;с Кирилловка;ул Ленина;37А
Хабаровский край;Ульчский р-н;;с Дуди;ул Почтовая;2
Оренбургская обл;;г Оренбург;;ул Инверторная;37/1
Оренбургская обл;;г Бузулук;;ул Матросова;11
г Москва;;;;ул Генерала Белова;33/19
Самарская обл;Челно-Вершинский р-н;;с Старое Аделяково;ул Русская;3А
Ульяновская обл;;г Ульяновск;;пр-кт Гая;104В
Самарская обл;;г Самара;;ул Свободы;3
Самарская обл;;г Сызрань;;ул Котовского;4А
Брянская обл;;г Брянск;;пр-кт Московский;1Ж
Ивановская обл;Лежневский р-н;;п Лежнево;ул 1-ая Тейковская;56
Пермский край;;г Березники;тер АЗС № 59-053;;1
Волгоградская обл;Быковский р-н;;п Катричев;ул Ленина;1
Забайкальский край;Краснокаменский р-н;г Краснокаменск;;мкр Восточный;2В
Иркутская обл;Эхирит-Булагатский р-н;;п Усть-Ордынский;ул Ербанова;46
Иркутская обл;;г Иркутск;;пр-кт Маршала Жукова;72
Кемеровская область - Кузбасс;;г Кемерово;;ул Металлистов;1
Хабаровский край;;г Комсомольск-на-Амуре;;ул Парижской Коммуны;30
Тюменская обл;Уватский р-н;;п Туртас;ул Октябрьская;19А
Пензенская обл;Башмаковский р-н;;рп Башмаково;ул Советская;5
Ханты-Мансийский Автономный округ - Югра АО;Октябрьский р-н;;п Горнореченск;ул Речная;20
Свердловская обл;Шалинский р-н;;пгт Шаля;ул Ленина;47А
Респ Крым;;г Феодосия;;ул Шевченко;9
Иркутская обл;Жигаловский р-н;;тер Автодорога Жигалово-Иркутск (рп Жигалово);км 2-ой;1
Курская обл;Железногорский р-н;;п Магнитный;ул Юбилейная;1
Респ Хакасия;Орджоникидзевский р-н;;п Копьево;ул Новобольничная;2
Респ Карелия;Беломорский р-н;;п Летнереченский;ул Больничная;18А
Омская обл;Черлакский р-н;;с Большой Атмас;ул Зеленая;59
Тюменская обл;;г Тюмень;;ул Тимофея Чаркова;89
Владимирская обл;Петушинский р-н;;д Липна;ул Дачная;3А
Самарская обл;;г Тольятти;;ул Победы;5
Московская обл;;г Королёв;;ул Карла Маркса;3Г
Ивановская обл;Ивановский р-н;;с Железнодорожный;ул Сосновая;4
г Севастополь;;;;ш Монастырское;3
Респ Калмыкия;Яшалтинский р-н;;п Манычский;ул Школьная;1
Иркутская обл;;г Ангарск;;пр-кт Ленинградский;2
Челябинская обл;;г Верхний Уфалей;;ул Маяковского;20
Брянская обл;Брянский р-н;;с Отрадное;ул Пятницкая;61
Алтайский край;Волчихинский р-н;;с Волчиха;ул Ленина;284
Новосибирская обл;Коченевский р-н;;с Прокудское;ул Есенина;2
Респ Татарстан;Альметьевский р-н;г Альметьевск;;ул Чапаева;4
Тюменская обл;Нижнетавдинский р-н;;с Тюнево;ул Центральная;1А
Респ Башкортостан;Хайбуллинский р-н;;с Ивановка;ул Заречная;13
Саратовская обл;Татищевский р-н;;с Вязовка;ул Советская;5
Тюменская обл;Тюменский р-н;;с Каскара;ул Ленина;1
Волгоградская обл;Чернышковский р-н;;х Тормосин;ул Советская;54
Респ Татарстан;;г Казань;;ул Рихарда Зорге;47А
Респ Мордовия;Ромодановский р-н;;п Ромоданово;ул Анны Лусс;4
Вологодская обл;;г Вологда;;пер Долгий;8
Ямало-Ненецкий АО;;г Новый Уренгой;;мкр Заозерный;6А
Кировская обл;Вятскополянский р-н;;пгт Красная Поляна;ул Центральная;13А
Краснодарский край;Мостовский р-н;;ст-ца Андрюки;ул Красноармейская;22
Нижегородская обл;Ардатовский р-н;;с Личадеево;ул Центральная;17
Челябинская обл;;г Копейск;;ул 16 лет Октября;24А
Пермский край;Ильинский р-н;;д Пепеляева;ул Дзержинского;13
Тюменская обл;;г Тюмень;;ул Омутинская;39А
Респ Хакасия;Боградский р-н;;с Боград;ул Партизанская;176
Респ Тыва;;г Кызыл;;ул Песочная;30
Краснодарский край;Щербиновский р-н;;ст-ца Новощербиновская;ул Калинина;124А
Респ Удмуртская;;г Ижевск;;ул им Татьяны Барамзиной;72
Респ Саха /Якутия/;;г Якутск;;ул Петра Алексеева;8Б
Чувашская Республика - Чувашия;Козловский р-н;;с Янгильдино;ул Школьная;9
Калужская обл;Перемышльский р-н;;с Перемышль;ул Коммунаров;4В
Чувашская Республика - Чувашия;;г Алатырь;;ул Чайковского;40
Ростовская обл;Белокалитвинский р-н;;п Сосны;ул 50 лет СССР;29
Смоленская обл;Рославльский р-н;г Рославль;;ул Энгельса;13
Самарская обл;Челно-Вершинский р-н;;с Челно-Вершины;ул Проломная;14
Респ Бурятия;;г Улан-Удэ;тер. СНТ Пищевик;проезд 27-й;746А
Саратовская обл;;г Саратов;тер СНТ Тембр;;129Д
Тверская обл;;п Озерный;;ул Московская;13
г Санкт-Петербург;;;;пр-кт Витебский;91
Респ Бурятия;Баргузинский р-н;;с Баргузин;ул Дзержинского;8А
Нижегородская обл;Павловский р-н;г Павлово;;ул Кирова;1
Московская обл;;г Павловский Посад;;ул Лесная;32/3
Челябинская обл;;г Челябинск;;ул Потребительская 1-я;2Б
Ханты-Мансийский Автономный округ - Югра АО;Сургутский р-н;;пгт Белый Яр;ул Единства;6
Ростовская обл;;г Шахты;;ул Победная;87
Новосибирская обл;Тогучинский р-н;г Тогучин;;ул Фетисова;35/1
Забайкальский край;Краснокаменский р-н;г Краснокаменск;;мкр 5-й;504
Нижегородская обл;Кстовский р-н;;сп Ждановский;ул Школьная;25
Владимирская обл;Собинский р-н;;д Демидово;;54А
Владимирская обл;Собинский р-н;;д Демидово;;83
Тамбовская обл;;г Тамбов;;ул Советская;164
Респ Крым;;г Симферополь;;ул Кечкеметская;194Б
Тверская обл;;пгт Максатиха;п Малышево;ул Центральная;3
Белгородская обл;;г Старый Оскол;;ул Соковая;13
Курганская обл;;г Шадринск;;ул Проектная;1А
Челябинская обл;;г Челябинск;;ул Малиновая;31
Калининградская обл;Полесский р-н;;п Тюленино;ул Калининградская;2
Курганская обл;Каргапольский р-н;;рп Каргаполье;пер Западный;1
Самарская обл;Волжский р-н;;тер Яицкое жилой массив (с Лопатино);ул Яицкая;2А
Чувашская Республика - Чувашия;Чебоксарский р-н;;д Клычево;ул Молодежная;7
Кировская обл;;г Киров;п Захарищевы;ул Земская;1005
Респ Крым;;г Симферополь;;пер Молодых Подпольщиков;16/85
Краснодарский край;Новокубанский р-н;;ст-ца Бесскорбная;ул Ленина;236
Московская обл;;г Люберцы;;пр-кт Октябрьский;18
Владимирская обл;Вязниковский р-н;г Вязники;;ул Ленина;48
г Санкт-Петербург;;;;ул Крыленко;6
Приморский край;Хорольский р-н;;с Вознесенка;ул Первомайская;3
г Москва;;;;ул Перовская;49/53
Нижегородская обл;;г Семенов;рп Сухобезводное;ул 2-я Лесная;1
Амурская обл;Магдагачинский р-н;;с Гонжа;ул Минеральная;3
Респ Коми;Койгородский р-н;;с Койгородок;ул Набережная;103А
Нижегородская обл;;г Арзамас;с Красное;ул Курмыш;8
Ростовская обл;;г Ростов-на-Дону;;ул Плодовая;10
г Москва;;;;ул Маршала Чуйкова;3
Краснодарский край;Ленинградский р-н;;ст-ца Новоплатнировская;ул Юбилейная;13Б
Воронежская обл;Новоусманский р-н;;п Отрадное;ул Автодорожная;9
Ростовская обл;;г Ростов-на-Дону;;ул Всесоюзная;133А
Белгородская обл;Белгородский р-н;;с Мясоедово;ул Трунова;60А
Оренбургская обл;Грачевский р-н;;с Грачевка;ул Унщикова;1
Хабаровский край;;г Комсомольск-на-Амуре;;ст Комсомольск;1
Красноярский край;;г Зеленогорск;;ул Мира;6А
Белгородская обл;Корочанский р-н;;с Кощеево;ул Центральная;17
Московская обл;г Дмитров;;д Удино;;104
Астраханская обл;Камызякский р-н;;с Чаган;ул Дачная;3
Респ Хакасия;Боградский р-н;;с Боград;ул Советская;49
Камчатский край;Карагинский р-н;;с Тымлат;ул Комарова;15
Респ Коми;;г Вуктыл;п Усть-Соплеск;ул Школьная;10
