Код сети;Адрес;Продажи
00045677017187800;Алтайский край, г Барнаул, проезд Северный Власихинский, 96;3781
00045672225074005;Алтайский край, г Барнаул, рп Южный, пр-кт Дзержинского, 1;4382
00045677017187800;Алтайский край, г Барнаул, рп Южный, ул Чайковского, 11;2127
00045672225074005;Алтайский край, г Барнаул, рп Южный, ул Чайковского, 15;8194
00045677017187800;Алтайский край, г Барнаул, рп Южный, ул Чайковского, 35, к 1;8405
00045675257056036;Алтайский край, г Барнаул, тракт Змеиногорский, 104П;1717
00045677724490000;Алтайский край, г Барнаул, тракт Змеиногорский, 49;841
00045677724490000;Алтайский край, г Барнаул, тракт Змеиногорский, 8;7264
00045677017187800;Алтайский край, г Барнаул, тракт Павловский, 251Г;2291
00045672225074005;Алтайский край, г Барнаул, тракт Павловский, 289;1578
00045677743931676;Алтайский край, г Барнаул, тракт Павловский, 299;4323
00045677743931676;Алтайский край, г Барнаул, тракт Павловский, 307, к 1;5891
00045672225074005;Алтайский край, г Барнаул, тракт Павловский, 7;4612
00045677743931676;Алтайский край, г Барнаул, тракт Павловский, 70;4131
00045672225074005;Алтайский край, г Барнаул, тракт Павловский, 78;8014
00045672310031475;Алтайский край, г Барнаул, тракт Павловский, 86;5168
00045677017187800;Алтайский край, г Барнаул, ул 50 лет СССР, 3;1221
00045677017187800;Алтайский край, г Барнаул, ул 65 лет Победы, 13;2565
00045672225074005;Алтайский край, г Барнаул, ул Аванесова, 101А;2133
00045672225074005;Алтайский край, г Барнаул, ул Аванесова, 44;3595
00045672310031475;Алтайский край, г Барнаул, ул Антона Петрова, 136;6157
00045672225074005;Алтайский край, г Барнаул, ул Антона Петрова, 213;4885
00045672225074005;Алтайский край, г Барнаул, ул Антона Петрова, 227А;354
00045672225074005;Алтайский край, г Барнаул, ул Антона Петрова, 250Д;9944
00045677017187800;Алтайский край, г Барнаул, ул Антона Петрова, 58;2567
00045672225074005;Алтайский край, г Барнаул, ул Балтийская, 100;8896
00045677825706086;Алтайский край, г Барнаул, ул Балтийская, 105;5117
00045672224156015;Алтайский край, г Барнаул, ул Балтийская, 16;7471
00045677724490000;Алтайский край, г Барнаул, ул Балтийская, 2;8409
00045672225074005;Алтайский край, г Барнаул, ул Балтийская, 53;5478
00045675047085094;Алтайский край, г Барнаул, ул Балтийская, 65;4690
00045672310031475;Алтайский край, г Барнаул, ул Балтийская, 92;6864
00045675257056036;Алтайский край, г Барнаул, ул Взлетная, 113;2956
00045677811657720;Алтайский край, г Барнаул, ул Взлетная, 99;5334
00045677017187800;Алтайский край, г Барнаул, ул Власихинская, 111;4943
00045677017187800;Алтайский край, г Барнаул, ул Власихинская, 65А, к 1;7676
00045672225074005;Алтайский край, г Барнаул, ул Геодезическая, 96;1521
00045677017187800;Алтайский край, г Барнаул, ул Георгия Исакова, 168;2546
00045677017187800;Алтайский край, г Барнаул, ул Георгия Исакова, 226;2405
00045677743931676;Алтайский край, г Барнаул, ул Георгия Исакова, 251;9525
00045677017187800;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 107;4806
00045677724490000;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 121;6384
00045677743931676;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 158;7436
00045672225074005;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 181/5;3390
00045676674121179;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 64;5540
00045675257056036;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 82;6665
00045677743931676;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 87;884
00045675047085094;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 89А;314
00045677825706086;Алтайский край, г Барнаул, ул Георгия Исакова/Попова, 97;2694
00045677017187800;Алтайский край, г Барнаул, ул Глушкова, 15;2253
00045677743931676;Алтайский край, г Барнаул, ул Глушкова, 30;9996
00045672310031475;Алтайский край, г Барнаул, ул Григория Левина, 2Б;1044
00045672225074005;Алтайский край, г Барнаул, ул Гущина, 154Д;8583
00045677017187800;Алтайский край, г Барнаул, ул Димитрова, 67А;7389
00045672224156015;Алтайский край, г Барнаул, ул Короленко, 40;5010
00045677724490000;Алтайский край, г Барнаул, ул Кутузова, 177;688
00045677017187800;Алтайский край, г Барнаул, ул Лазурная, 44;4581
00045677724490000;Алтайский край, г Барнаул, ул Малахова, 128;8786
00045677743931676;Алтайский край, г Барнаул, ул Малахова, 146В;6633
00045677017187800;Алтайский край, г Барнаул, ул Малахова, 45;4760
00045677724490000;Алтайский край, г Барнаул, ул Малиновая 1-я, 58;1004
00045672225074005;Алтайский край, г Барнаул, ул Молодежная, 136;3291
00045677825706086;Алтайский край, г Барнаул, ул Молодежная, 25Б;2808
00045677743931676;Алтайский край, г Барнаул, ул Молодежная, 56;3851
00045677743931676;Алтайский край, г Барнаул, ул Новгородская, 20А;1604
00045677724490000;Алтайский край, г Барнаул, ул Октябрят, 29;5314
00045672225074005;Алтайский край, г Барнаул, ул Островского, 4Б;693
00045672224156015;Алтайский край, г Барнаул, ул П.С.Кулагина, 26В;4850
00045672225074005;Алтайский край, г Барнаул, ул Папанинцев, 129А;9267
00045672225074005;Алтайский край, г Барнаул, ул Петра Сухова, 4;7010
00045677743931676;Алтайский край, г Барнаул, ул Профинтерна, 10А;4284
00045672225074005;Алтайский край, г Барнаул, ул Профинтерна, 52;8896
00045672225074005;Алтайский край, г Барнаул, ул Северо-Западная, 230Б;8270
00045677724490000;Алтайский край, г Барнаул, ул Северо-Западная, 240;9206
00045672225074005;Алтайский край, г Барнаул, ул Северо-Западная, 250;2175
00045677017187800;Алтайский край, г Барнаул, ул Сергея Семенова, 1;7811
00045672225074005;Алтайский край, г Барнаул, ул Советская, 3А;790
00045672310031475;Алтайский край, г Барнаул, ул Солнечная Поляна, 29;7729
00045677743931676;Алтайский край, г Барнаул, ул Солнечная Поляна, 81;3347
00045677743931676;Алтайский край, г Барнаул, ул Солнечная Поляна, 94, к 6;5727
00045677743931676;Алтайский край, г Барнаул, ул Сухэ-Батора, 13;2507
00045677743931676;Алтайский край, г Барнаул, ул Сухэ-Батора, 33;1187
00045672225074005;Алтайский край, г Барнаул, ул Телефонная, 46;4960
00045675047085094;Алтайский край, г Барнаул, ул Тимуровская, 17;5553
00045672225074005;Алтайский край, г Барнаул, ул Фурманова, 24А;6163
00045672225074005;Алтайский край, г Барнаул, ул Шумакова, 46;4858
00045672225074005;Алтайский край, г Барнаул, ул Эмилии Алексеевой, 2Б;5616
00045677825706086;Алтайский край, г Барнаул, ул Энтузиастов, 49;4384
00045672310031475;Алтайский край, г Барнаул, ул Юрина, 184;5160
00045672310031475;Алтайский край, г Барнаул, ул Юрина, 275Б;9543
00045672224156015;Алтайский край, г Белокуриха, ул Бийская, 30;9504
00045672310031475;Алтайский край, г Белокуриха, ул Партизанская, 14А;8940
00045677724490000;Алтайский край, г Бийск, пер Кожевенный, 38;4428
00045672225074005;Алтайский край, г Бийск, пер Муромцевский, 13;6345
00045677724490000;Алтайский край, г Бийск, с Одинцовка, ул Российская, 25;7807
00045672310031475;Алтайский край, г Бийск, тер. СНТ Армейский, ул N 10, 137;5999
00045677743931676;Алтайский край, г Бийск, ул Владимира Короленко, 47;689
00045672310031475;Алтайский край, г Бийск, ул Владимира Ленина, 250/1;7724
00045677743931676;Алтайский край, г Бийск, ул Георгия Прибыткова, 7;6120
00045677724490000;Алтайский край, г Бийск, ул имени Героя Советского Союза Трофимова, 119/1;6848
00045672204039458;Алтайский край, г Бийск, ул Крайняя, 116;9618
00045672225074005;Алтайский край, г Бийск, ул Краснооктябрьская, 190В;910
00045672204039458;Алтайский край, г Бийск, ул Максима Горького, 69/1;2035
00045672225074005;Алтайский край, г Бийск, ул Максима и Николая Казанцевых, 1;6698
00045675047085094;Алтайский край, г Бийск, ул Максима и Николая Казанцевых, 58;195
00045677724490000;Алтайский край, г Бийск, ул Петра Мерлина, 17;8052
00045675047085094;Алтайский край, г Бийск, ул Советская, 210А;7326
00045675047085094;Алтайский край, г Бийск, ул Советская, 4;4199
00045672204039458;Алтайский край, г Бийск, ул Советская, 40;3573
00045672225074005;Алтайский край, г Бийск, ул Степана Разина, 25;6950
00045672204039458;Алтайский край, г Бийск, ул Ударная, 27;4115
00045672225074005;Алтайский край, г Заринск, ул Воинов-интернационалистов, 1/1;6654
00045672224156015;Алтайский край, г Заринск, ул Молодежная, 139Б;4683
00045672310031475;Алтайский край, г Заринск, ул Союза Республик, 7;2271
00045677017187800;Алтайский край, г Новоалтайск, мкр Дорожник, 1;8919
00045675047085094;Алтайский край, г Новоалтайск, ул 7 микрорайон, 2;8315
00045677825706086;Алтайский край, г Новоалтайск, ул Анатолия, 23;4190
00045672225074005;Алтайский край, г Новоалтайск, ул Высоковольтная, 1А;1347
00045677724490000;Алтайский край, г Новоалтайск, ул Космонавтов, 2;9880
00045677743931676;Алтайский край, г Новоалтайск, ул Космонавтов, 20;3104
00045677743931676;Алтайский край, г Новоалтайск, ул Майская, 104;4160
00045677743931676;Алтайский край, г Новоалтайск, ул Октябрьская, 1;8085
00045675047085094;Алтайский край, г Новоалтайск, ул Октябрьская, 14А;6513
00045677017187800;Алтайский край, г Новоалтайск, ул Прудская, 1А;5444
00045672225074005;Алтайский край, г Новоалтайск, ул Энгельса, 5;7419
00045672310031475;Алтайский край, г Рубцовск, пр-кт Ленина, 64;2617
00045672310031475;Алтайский край, г Рубцовск, ул Громова, 16;570
00045672224156015;Алтайский край, г Рубцовск, ул Карла Маркса, 214;8148
00045677743931676;Алтайский край, г Рубцовск, ул Комсомольская, 289;149
00045675047085094;Алтайский край, г Рубцовск, ул Комсомольская, 53;7248
00045672224156015;Алтайский край, г Рубцовск, ул Комсомольская, 73;1544
00045672310031475;Алтайский край, г Рубцовск, ул Комсомольская, 77, стр 1;5381
00045672225074005;Алтайский край, г Рубцовск, ул Комсомольская, 84;5613
00045677743931676;Алтайский край, г Рубцовск, ул Менделеева, 1;8289
00045672225074005;Алтайский край, г Рубцовск, ул Осипенко, 142;8808
00045672225074005;Алтайский край, г Рубцовск, ул Пролетарская, 248;4087
00045677825706086;Алтайский край, г Рубцовск, ул Светлова, 23;4697
00045677743931676;Алтайский край, г Рубцовск, ул Северная, 15;9186
00045672225074005;Алтайский край, г Рубцовск, ул Сенная, 42;8462
00045677724490000;Алтайский край, г Славгород, г-к Военный, 184;8242
00045677724490000;Алтайский край, г Славгород, с Покровка, ул Титова, 25;7340
00045677724490000;Алтайский край, г Славгород, с Семеновка, ул Кулундинская, 17А;9033
00045672310031475;Алтайский край, г Славгород, ул Урицкого, 114;8865
00045672225074005;Алтайский край, г Яровое, кв-л А, 29;620
00045677743931676;Алтайский край, г Яровое, кв-л Б, 14;3411
00045677825706086;Алтайский край, г Яровое, ул Мира, 1/1;8780
00045672225074005;Алтайский край, Ельцовский р-н, с Ельцовка, ул им Ленина, 5;1163
00045677724490000;Алтайский край, Ельцовский р-н, с Ельцовка, ул им Шацкого, 20;1054
00045677724490000;Алтайский край, Ельцовский р-н, с Последниково, ул Центральная, 22;7782
00045672225074005;Алтайский край, Залесовский р-н, с Залесово, ул Коммунистическая, 73;2242
00045672224156015;Алтайский край, Залесовский р-н, с Залесово, ул Ленинская, 81;363
00045677724490000;Алтайский край, Залесовский р-н, с Кордон, ул Школьная, 19А;6989
00045677724490000;Алтайский край, Заринский р-н, с Верх-Камышенка, ул Центральная, 30;2752
00045677724490000;Алтайский край, Заринский р-н, с Зыряновка, ул Советская, 9;5287
00045677724490000;Алтайский край, Заринский р-н, с Новомоношкино, ул Центральная, 27;9531
00045677724490000;Алтайский край, Заринский р-н, ст Голуха, ул Озерная, 3;9351
00045672224156015;Алтайский край, Змеиногорский р-н, г Змеиногорск, ул К.Маркса, 75;5059
00045672225074005;Алтайский край, Змеиногорский р-н, г Змеиногорск, ул Некрасова, 15;7726
00045672310031475;Алтайский край, Змеиногорский р-н, г Змеиногорск, ул Пугачева, 1, к г;9285
00045677743931676;Алтайский край, Змеиногорский р-н, г Змеиногорск, ул Пугачева, 1/3;4366
00045672225074005;Алтайский край, Змеиногорский р-н, г Змеиногорск, ул Пугачева, 5А;2500
00045677724490000;Алтайский край, Зональный р-н, п Октябрьский, ул Советская, 16;1839
00045677743931676;Алтайский край, Зональный р-н, с Зональное, ул Торговая, 2;8093
00045672224156015;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Громова, 49Б;149
00045672310031475;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Каменская, 122З;648
00045677724490000;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Красноармейская, 84;2444
00045672225074005;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Ленина, 185;118
00045677825706086;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Пушкина, 1;981
00045677724490000;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Северная, 58;719
00045672225074005;Алтайский край, Каменский р-н, г Камень-на-Оби, ул Терешковой, 37;6329
00045677724490000;Алтайский край, Ключевский р-н, п Целинный, ул Пушкина, 4;3359
00045677724490000;Алтайский край, Ключевский р-н, с Васильчуки, ул Центральная, 13;3232
00045675047085094;Алтайский край, Ключевский р-н, с Ключи, ул Центральная, 28;5417
00045677724490000;Алтайский край, Ключевский р-н, с Марковка, ул Новая, 17;6742
00045677724490000;Алтайский край, Красногорский р-н, с Быстрянка, пер Мартовский, 6;2038
00045677724490000;Алтайский край, Краснощёковский р-н, с Верх-Камышенка, ул Юбилейная, 1;7401
00045677724490000;Алтайский край, Краснощёковский р-н, с Маралиха, ул Ленина, 3;2445
00045677724490000;Алтайский край, Краснощёковский р-н, с Новошипуново, пл Центральная, 5;7138
00045677724490000;Алтайский край, Крутихинский р-н, п Подборный, ул Центральная, 40;7622
00045677724490000;Алтайский край, Крутихинский р-н, с Долганка, ул Гагарина, 4;6279
00045677724490000;Алтайский край, Крутихинский р-н, с Прыганка, ул Молодежная, 9;4953
00045677724490000;Алтайский край, Кулундинский р-н, с Златополь, ул Партизанская, 18;6122
00045676658521356;Алтайский край, Кулундинский р-н, с Кулунда, ул Советская, 29А;4770
00045677724490000;Алтайский край, Кулундинский р-н, с Кулунда, ул Советская, 45;6833
00045677724490000;Алтайский край, Курьинский р-н, с Кузнецово, ул Центральная, 76;8705
00045677724490000;Алтайский край, Кытмановский р-н, с Петрушиха, ул Цветочная, 24;7837
00045677724490000;Алтайский край, Кытмановский р-н, с Тяхта, ул Садовая, 26;4694
00045677743931676;Алтайский край, Локтевский р-н, г Горняк, ул Некрасова, 27;9169
00045677724490000;Алтайский край, Локтевский р-н, п Ремовский, ул Комарова, 3;2527
00045677724490000;Алтайский край, Локтевский р-н, с Гилево, ул Мира, 39;8337
00045677724490000;Алтайский край, Локтевский р-н, с Николаевка, ул Клочкова, 28;8503
00045677724490000;Алтайский край, Локтевский р-н, с Советский Путь, ул Гагарина, 11;9060
00045672310031475;Алтайский край, Мамонтовский р-н, с Мамонтово, ул Партизанская, 156;7328
00045677724490000;Алтайский край, Мамонтовский р-н, с Суслово, ул Советская, 63;9405
00045672224156015;Алтайский край, Михайловский р-н, с Михайловское, ул Некрасова, 56;455
00045677724490000;Алтайский край, Михайловский р-н, с Михайловское, ул Садовая, 32;2021
00045672225074005;Алтайский край, Немецкий национальный р-н, с Гальбштадт, ул Тракторная, 3;9952
00045677724490000;Алтайский край, Немецкий национальный р-н, с Шумановка, ул Ленина, 44;7549
00045676682001397;Алтайский край, п ЗАТО Сибирский, ул 40 лет РВСН, 8/3;7190
00045672225074005;Алтайский край, п ЗАТО Сибирский, ул Строителей, 16;7162
00045677724490000;Алтайский край, Павловский р-н, п Комсомольский, ул Московская, 8;4147
00045672225074005;Алтайский край, Павловский р-н, п Прутской, пер Радужный, 1;1209
00045672225074005;Алтайский край, Павловский р-н, с Павловск, ул Калинина, 77;764
00045677724490000;Алтайский край, Первомайский р-н, с Берёзовка, ул 40 лет Победы, 44;2561
00045677724490000;Алтайский край, Первомайский р-н, с Санниково, ул Ефремова, 8;8077
00045677825706086;Алтайский край, Первомайский р-н, с Фирсово, ул Центральная, 12;9607
00045677724490000;Алтайский край, Петропавловский р-н, с Камышенка, ул Советская, 121;2458
00045677743931676;Алтайский край, Поспелихинский р-н, с Поспелиха, ул Коммунистическая, 27;5932
00045675047085094;Алтайский край, Поспелихинский р-н, с Поспелиха, ул Первомайская, 45;6110
00045677724490000;Алтайский край, Ребрихинский р-н, с Ясная Поляна, ул Комсомольская, 204;4770
00045677724490000;Алтайский край, Родинский р-н, с Вознесенка, ул Сухова, 79;6719
00045677724490000;Алтайский край, Родинский р-н, с Каяушка, ул Ленина, 38;3983
00045672225074005;Алтайский край, Родинский р-н, с Родино, ул Ленина, 197;9967
00045677724490000;Алтайский край, Родинский р-н, с Родино, ул Ленина, 214;4428
00045672310031475;Алтайский край, Родинский р-н, с Родино, ул Ленина, 3, к 4;3708
00045677724490000;Алтайский край, Романовский р-н, с Дубровино, ул Советская, 53;1940
00045677724490000;Алтайский край, Рубцовский р-н, п Новороссийский, пер Центральный, 2;7956
00045677724490000;Алтайский край, Рубцовский р-н, п Новороссийский, ул Гагарина, 2;4750
00045677724490000;Алтайский край, Рубцовский р-н, с Самарка, ул Ленина, 22;5061
00045677724490000;Алтайский край, Смоленский р-н, п Линевский, ул Скорикова, 4А;7756
00045672225074005;Алтайский край, Смоленский р-н, с Смоленское, ул Мартакова, 83А;8973
00045677724490000;Алтайский край, Смоленский р-н, с Старотырышкино, ул Каньшакова, 37;5787
00045677724490000;Алтайский край, Советский р-н, с Колово, ул Центральная, 8;453
00045677724490000;Алтайский край, Советский р-н, с Сетовка, ул Советская, 43;3048
00045672225074005;Алтайский край, Советский р-н, с Советское, ул Ленина, 71;3307
00045672225074005;Алтайский край, Солонешенский р-н, с Солонешное, ул Партизанская, 1;5572
00045677724490000;Алтайский край, Солонешенский р-н, с Топольное, ул Центральная, 96;1894
00045677724490000;Алтайский край, Солтонский р-н, с Макарьевка, ул Полевая, 19;5193
00045677724490000;Алтайский край, Суетский р-н, с Александровка, ул Победы, 35;1329
00045676674121179;Алтайский край, Тальменский р-н, рп Тальменка, ул Партизанская, 64А;4335
00045677724490000;Алтайский край, Тальменский р-н, с Анисимово, ул Тальменская, 2Г;3102
00045677724490000;Алтайский край, Тальменский р-н, с Курочкино, ул Совхозная, 34;8271
00045672225074005;Алтайский край, Тальменский р-н, с Ларичиха, ул Советская, 22А;7175
00045677724490000;Алтайский край, Тальменский р-н, с Новотроицк, ул Советская, 70;4677
00045672225074005;Алтайский край, Тогульский р-н, с Тогул, ул Октябрьская, 11;3842
00045672310031475;Алтайский край, Топчихинский р-н, с Топчиха, ул Ленина, 5А/1;5136
00045672204039458;Алтайский край, Топчихинский р-н, с Топчиха, ул Привокзальная, 48;1940
00045677724490000;Алтайский край, Третьяковский р-н, с Екатерининское, ул Титова, 49;5210
00045677743931676;Алтайский край, Третьяковский р-н, с Староалейское, ул Кирова, 42;1612
00045677724490000;Алтайский край, Троицкий р-н, с Белое, ул 40 лет Победы, 13;9073
00045677724490000;Алтайский край, Троицкий р-н, с Заводское, ул Сибирская, 1;1479
00045675257056036;Алтайский край, Троицкий р-н, с Троицкое, ул Пушкина, 25В;4557
00045677724490000;Алтайский край, Троицкий р-н, с Троицкое, ул Советская, 62;9823
00045672310031475;Алтайский край, Тюменцевский р-н, с Тюменцево, пер Центральный, 7Б;6382
00045677724490000;Алтайский край, Усть-Калманский р-н, с Новобураново, ул Октябрьская, 7;7100
00045677724490000;Алтайский край, Усть-Калманский р-н, с Огни, ул Партизанская, 42;6268
00045677724490000;Алтайский край, Усть-Пристанский р-н, с Клепиково, ул Советская, 23;4948
00045677724490000;Алтайский край, Усть-Пристанский р-н, с Нижнеозерное, ул Юбилейная, 18;8692
00045677724490000;Алтайский край, Усть-Пристанский р-н, с Нижняя Гусиха, ул Береговая, 6;882
00045677724490000;Алтайский край, Хабарский р-н, с Зятькова Речка, ул Юбилейная, 16;5079
00045677724490000;Алтайский край, Целинный р-н, с Ложкино, ул Школьная, 10;2000
00045677724490000;Алтайский край, Целинный р-н, с Поповичи, ул Центральная, 75;4965
00045677724490000;Алтайский край, Целинный р-н, с Сухая Чемровка, ул Молодежная, 6;3825
00045677724490000;Алтайский край, Целинный р-н, с Шалап, ул Ленина, 5;4542
00045677724490000;Алтайский край, Чарышский р-н, с Маралиха, ул Центральная, 57;9040
00045677724490000;Алтайский край, Шелаболихинский р-н, с Омутское, ул Цветочная, 16А;7251
00045677724490000;Алтайский край, Шелаболихинский р-н, с Шелаболиха, ул 50 лет Алтая, 3;5167
00045672225074005;Алтайский край, Шелаболихинский р-н, с Шелаболиха, ул Лермонтова, 25;2354
00045677724490000;Алтайский край, Шипуновский р-н, с Горьковское, ул Октябрьская, 40;484
00045677724490000;Алтайский край, Шипуновский р-н, с Ельцовка, ул Советская, 42;5417
00045677724490000;Алтайский край, Шипуновский р-н, с Урлапово, ул 30 лет Победы, 26;6226
00045677743369591;Алтайский край, Шипуновский р-н, с Шипуново, ул Заводская, 48А;8515
00045672225074005;Алтайский край, Шипуновский р-н, с Шипуново, ул Мамонтова, 78;2671
00045677724490000;Амурская обл, Белогорский р-н, с Возжаевка, ул Почтовая, 5;5707
00045677724490000;Амурская обл, Белогорский р-н, с Некрасовка, ул Денисенко, 31;4356
00045677724490000;Амурская обл, Благовещенский р-н, с Усть-Ивановка, ул Ленина, 75;9090
00045675257056036;Амурская обл, Бурейский р-н, пгт Бурея, ул Желябовского, 15А;9382
00045677724490000;Амурская обл, Бурейский р-н, пгт Бурея, ул Кировская, 65;6336
00045677724490000;Амурская обл, Бурейский р-н, с Родионовка, ул Школьная, 1;5584
00045675257056036;Амурская обл, г Белогорск, ул Кирова, 136;6608
00045677743931676;Амурская обл, г Белогорск, ул Кирова, 62;9313
00045677743931676;Амурская обл, г Белогорск, ул Кирова, 97;4057
00045675257056036;Амурская обл, г Благовещенск, ул Амурская, 71;7451
00045675257056036;Амурская обл, г Благовещенск, ул Б.Хмельницкого, 130;9250
00045672801216975;Амурская обл, г Благовещенск, ул Воронкова, 8;5460
00045677724490000;Амурская обл, г Благовещенск, ул Дальневосточная, 10;8921
00045672723112310;Амурская обл, г Благовещенск, ул Институтская, 20/2;9349
00045675257056036;Амурская обл, г Благовещенск, ул Калинина, 142/2;2703
00045672723112310;Амурская обл, г Благовещенск, ул Красноармейская, 82;7931
00045677743931676;Амурская обл, г Благовещенск, ул Кузнечная, 85;4388
00045677724490000;Амурская обл, г Благовещенск, ул Ленина, 135;1643
00045672508070347;Амурская обл, г Благовещенск, ул Ленина, 188;2973
00045677743931676;Амурская обл, г Благовещенск, ул Ленина, 213;5185
00045677743931676;Амурская обл, г Благовещенск, ул Ленина, 41;791
00045672801216975;Амурская обл, г Благовещенск, ул Октябрьская, 143;501
00045677724490000;Амурская обл, г Благовещенск, ул Политехническая, 103;2234
00045672723205733;Амурская обл, г Благовещенск, ул Театральная, 79;2648
00045672723205733;Амурская обл, г Зея, ул Шохина, 4;2807
00045677724490000;Амурская обл, г Райчихинск, п Зельвино, ул Л.Чайкиной, 30;1780
00045672723112310;Амурская обл, г Райчихинск, ул Комсомольская, 7;5524
00045677724490000;Амурская обл, г Свободный, ул Кирова, 104;2516
00045672508070347;Амурская обл, г Тында, ул Амурская, 9;1728
00045677724490000;Амурская обл, г Тында, ул Краснодарская, 1;7191
00045675254488253;Амурская обл, г Циолковский, ул Красногвардейская, 8/3;9618
00045677724490000;Амурская обл, г Циолковский, ул Маршала Неделина, 42;7275
00045672723205733;Амурская обл, г Шимановск, ул Орджоникидзе, 27;6679
00045672723112310;Амурская обл, Завитинский р-н, г Завитинск, ул Мухинская, 25А;2070
00045677724490000;Амурская обл, Ивановский р-н, с Черемхово, ул Кирова, 117;8244
00045677724490000;Амурская обл, Константиновский р-н, с Новопетровка, ул Стрельцова, 27;6013
00045672801216975;Амурская обл, Магдагачинский р-н, пгт Магдагачи, ул Торговая, 13;959
00045677724490000;Амурская обл, Мазановский р-н, с Новокиевский Увал, ул Советская, 38;8634
00045677724490000;Амурская обл, Михайловский р-н, с Дим, ул Центральная, 6;3912
00045677724490000;Амурская обл, Михайловский р-н, с Калинино, ул Шадрина, 1;9861
00045677724490000;Амурская обл, Михайловский р-н, с Михайловка, ул Михайловских партизан, 1;7101
00045677724490000;Амурская обл, пгт Прогресс, пгт Новорайчихинск, ул Депутатская, 21;1801
00045677724490000;Амурская обл, Селемджинский р-н, пгт Февральск, ул Енисейская, 3;8622
00045677724490000;Амурская обл, Селемджинский р-н, пгт Экимчан, ул Центральная, 35;1278
00045677724490000;Амурская обл, Серышевский р-н, с Бочкаревка, ул Школьная, 14;5025
00045677724490000;Амурская обл, Сковородинский р-н, ж/д_ст Бам, ул Амурская, 1;223
00045677724490000;Амурская обл, Тамбовский р-н, с Лазаревка, ул Центральная, 38;333
